LBL,Hypoxia_grp,Aggregate_grp,Aggregate_grp2,Func_grp,General_grouping,              Family,             Order ,Class ,TSN,NODC_CODE
Hutchinsoniella macraca,.,.,.,.,brachypoda,Hutchinsoniella ,Brachypoda,Cephalocarida,#N/A,
hutchinsoniella macracantha,.,.,.,.,brachypoda,Hutchinsoniella ,Brachypoda,Cephalocarida,,
Decapoda,.,.,.,.,decapod,.,Decapoda,Malacostraca,95599,
Hydracarina,.,.,.,.,hydrachnidiae,Hydrachnellae,Trombidiformes,Archanida,#N/A,
No Organisms Present,.,.,.,.,No Organisms Present,.,.,.,#N/A,
Pycnogonida,.,.,.,.,pycnogonid,.                               ,Pantopoda,Pycnogonida,83545,
Tanystylum orbiculare,.,.,.,.,pycnogonid,Ammotheidae,Pantopoda,Pycnogonida,83618,
Branchiostoma caribaeum,.,amphioxus,amphioxus,amphioxus,amphioxus,Branchiostomatidae,Amphioxiformes,Leptocardii,159682,
Balanus improvisus,.,barnacle,barnacle,barnacle,barnacle,Balanidae      ,Sessilia             ,Maxillopoda,89622,
balanus spp.,.,barnacle,barnacle,barnacle,barnacle,Balanidae      ,Sessilia             ,Maxillopoda,,
Anadara ovalis,Bivalves,other_bivalves,Large_bivalve,bivalves,bivalve,Arcidae        ,Arcoida       ,Bivalvia         ,79342,
Barnea truncata,Bivalves,other_bivalves,Large_bivalve,bivalves,bivalve,Pholadidae,Myida          ,Bivalvia         ,81798,
Corbicula fluminea,Bivalves,Corbicula,Large_bivalve,bivalves,bivalve,Cyrenoidae,Veneroida  ,Bivalvia         ,81387,
crassostrea virginica,Bivalves,other_bivalves,Large_bivalve,bivalves,bivalve,Ostreidae,Ostreida,Bivalvia         ,,
Cyrtopleura costata,Bivalves,other_bivalves,Large_bivalve,bivalves,bivalve,Pholadidae,Myoida          ,Bivalvia         ,81796,
Dosinia discus,Bivalves,other_bivalves,Large_bivalve,bivalves,bivalve,Venerida   ,Veneroida  ,Bivalvia         ,81489,
Elliptio complanata,Bivalves,other_bivalves,Large_bivalve,bivalves,bivalve,Unionidae,Unionoida ,Bivalvia         ,79952,
Ensis directus,Bivalves,Razor_clams,Large_bivalve,bivalves,bivalve,Pharidae     ,Adapedonta,Bivalvia         ,81022,
Geukensia demissa,Bivalves,other_bivalves,Large_bivalve,bivalves,bivalve,Mytillidae   ,Mytiloida    ,Bivalvia         ,79555,
Ischadium recurvum,Bivalves,other_bivalves,Large_bivalve,bivalves,bivalve,Mytilidae   ,Mytiloida    ,Bivalvia         ,79561,
Mercenaria mercenaria,Bivalves,other_bivalves,Large_bivalve,bivalves,bivalve,Venerida   ,Veneroida  ,Bivalvia         ,81496,
Modiolus modiolus,Bivalves,other_bivalves,Large_bivalve,bivalves,bivalve,Mytillidae   ,Mytilida     ,Bivalvia         ,79501,
Mya arenaria,Bivalves,other_bivalves,Large_bivalve,bivalves,bivalve,Myidae       ,Myoida           ,Bivalvia         ,81692,
Mytilidae,Bivalves,other_bivalves,Large_bivalve,bivalves,bivalve,Mytilidae   ,Mytiloida    ,Bivalvia         ,#N/A,
Mytilus edulis,Bivalves,other_bivalves,Large_bivalve,bivalves,bivalve,Mytilidae             ,Mytiloida    ,Bivalvia         ,79454,
Petricola pholadiformis,Bivalves,other_bivalves,Large_bivalve,bivalves,bivalve,Petricolidae,veneroida  ,Bivalvia         ,81627,
polymesoda caroliniana,Bivalves,other_bivalves,Large_bivalve,bivalves,bivalve,Cyrenidae,Venerida,Bivalvia         ,,
Rangia cuneata,Bivalves,Rangia,Large_bivalve,bivalves,bivalve,Mactridae  ,veneroida  ,Bivalvia         ,80962,
siliqua costata,Bivalves,Razor_clams,Large_bivalve,bivalves,bivalve,Pharidae     ,Adapedonta,Bivalvia         ,,
spisula solidissima,Bivalves,other_bivalves,Large_bivalve,bivalves,bivalve,Mactridae  ,Venerida,Bivalvia         ,,
Tagelus divisus,Bivalves,Razor_clams,Large_bivalve,bivalves,bivalve,Solecurtidae,Cardiida    ,Bivalvia         ,81274,
Tagelus plebeius,Bivalves,Razor_clams,Large_bivalve,bivalves,bivalve,Solecurtidae,Cardiida    ,Bivalvia         ,81272,
Unionidae,Bivalves,other_bivalves,Large_bivalve,bivalves,bivalve,Unionidae,Unionoida ,Bivalvia         ,79913,
Yoldia limatula,Bivalves,other_bivalves,Large_bivalve,bivalves,bivalve,Yoldiidae ,Nuculoida ,Bivalvia         ,79273,
Abra aequalis,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Semelidae,Cardiida            ,Bivalvia         ,81302,
Aligena elevata,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Lasaeidae    ,veneroida  ,Bivalvia         ,80685,
amygdalum papyrium,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Mytillidae   ,Mytilida     ,Bivalvia         ,,
Anadara transversa,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Arcidae        ,Arcoida       ,Bivalvia         ,79340,
anomia simplex,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Anomiidae,Pectinida,Bivalvia         ,,
arcuatula papyria,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Mytillidae   ,Mytilida     ,Bivalvia         ,,
Bivalvia,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,.,.,Bivalvia         ,79118,
donax variabilis,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Donacidae,Cardiida,Bivalvia         ,,
Gemma gemma,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Venerida   ,Veneroida  ,Bivalvia         ,81511,
Lyonsia hyalina,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Lyonsiidae   ,Pholadomyoida,Bivalvia         ,81926,
Macoma balthica,Bivalves,Macoma,Small_bivalve,bivalves,bivalve,Tellinidae   ,Cardiida       ,Bivalvia         ,#N/A,
Macoma mitchelli,Bivalves,Macoma,Small_bivalve,bivalves,bivalve,Tellinidae   ,Cardiida      ,Bivalvia         ,81054,
Macoma spp.,Bivalves,Macoma,Small_bivalve,bivalves,bivalve,Tellinidae   ,Cardiida            ,Bivalvia         ,#N/A,
Macoma tenta,Bivalves,Macoma,Small_bivalve,bivalves,bivalve,Tellinidae   ,Cardiida            ,Bivalvia         ,81055,
Mulinia lateralis,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Mactridae  ,Veneroida  ,Bivalvia         ,80959,
Musculium spp.,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Sphaeriidae,Veneroida  ,Bivalvia         ,#N/A,
Musculium transversum,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Sphaeriidae,Veneroida  ,Bivalvia         ,81428,
Mysella planulata,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Montacutidae,Veneroida  ,Bivalvia         ,80661,
Mytilopsis leucophaeata,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Dreissenidae,Veneroida  ,Bivalvia         ,81335,
Nucula proxima,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Nuculidae  ,Nuculida ,Bivalvia         ,79132,
Nuculana messanensis,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Nuculanidae ,Nuculoida ,Bivalvia         ,79212,
Nuculana spp.,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Nuculanidae ,Nuculoida ,Bivalvia         ,#N/A,
Pandora gouldiana,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Pandoridae,Pholadomyoida,Bivalvia         ,81896,
Pandora trilineata,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Pandoridae,Pholadomyoida,Bivalvia         ,81895,
Parvilucina crenella,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Lucinidae  ,Lucinida  ,Bivalvia         ,80390,
Periploma spp.,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Perplomatidae ,Pholadomyoida,Bivalvia         ,#N/A,
pisidium compressum,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Sphaeriidae,veneroida  ,Bivalvia         ,,
Pisidium spp.,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Sphaeriidae,veneroida  ,Bivalvia         ,#N/A,
semele purpurascens,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Semelidae,Cardiida,Bivalvia         ,,
Solemya velum,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Solemyidae,Solemyoida,Bivalvia         ,79316,
Sphaeriidae,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Sphaeriidae,Veneroida  ,Bivalvia         ,81389,
Sphaerium spp.,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Sphaeriidae,Veneroida  ,Bivalvia         ,#N/A,
Tellina agilis,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Tellinidae   ,Cardida      ,Bivalvia         ,81088,
Tellinidae,Bivalves,other_bivalves,Small_bivalve,bivalves,bivalve,Tellinidae   ,Cardida      ,Bivalvia         ,81032,
Anthozoa,.,.,.,cnidaria,cnidaria,.,.,.,51938,
Ceriantheopsis american,.,anemone,anemone,cnidaria,cnidaria,Cerianthidae,Spirularia,Anthozoa      ,#N/A,
ceriantheopsis americanus,.,anemone,anemone,cnidaria,cnidaria,Cerianthidae,Spirularia,Anthozoa      ,#N/A,
Diadumene leucolena,.,anemone,anemone,cnidaria,cnidaria,Diadumenidae,Actiniaria ,Anthozoa,52749,
Eunicea spp.,.,coral,coral,cnidaria,cnidaria,Plexauridae,Alcyonacea,Anthozoa,#N/A,
haloclava producta,.,cnidarian,cnidarian,cnidarian,cnidarian,Haloclavidae,Actiniaria ,anthozoa,,
Brachyura,.,decapod_crab,large_decapod,decapod_crab,decapod_crab,.,Decapoda,Malacostraca,98276,
Brachyuran zoea,.,decapod_crab,large_decapod,decapod_crab,decapod_crab,.,Decapoda,Malacostraca,#N/A,
Callinectes sapidus,.,decapod_crab,large_decapod,decapod_crab,decapod_crab,Portunidae,Decapoda,Malacostraca,98696,
Dyspanopeus sayi,.,decapod_crab,large_decapod,decapod_crab,decapod_crab,Panopeidae,Decapoda,Malacostraca,98901,
Euceramus praelongus,.,decapod_crab,large_decapod,decapod_crab,decapod_crab,Porcellanidae,Decapoda,Malacostraca,98081,
Eurypanopeus depressus,.,decapod_crab,large_decapod,decapod_crab,decapod_crab,Panopeidae,Decapoda,Malacostraca,98759,
Hexapanopeus angustifro,.,decapod_crab,large_decapod,decapod_crab,decapod_crab,Panopeidae,Decapoda,Malacostraca,#N/A,
hexapanopeus angustifrons,.,decapod_crab,large_decapod,decapod_crab,decapod_crab,Panopeidae,Decapoda,Malacostraca,,
ovalipes ocellatus,.,decapod_crab,large_decapod,decapod_crab,decapod_crab,Ovalipidae,Decapoda,Malacostraca,,
pagurus acadianus,.,decapod_crab,large_decapod,decapod_crab,decapod_crab,Paguridae,Decapoda ,Malacostraca,,
Pagurus annulipes,.,decapod_crab,large_decapod,decapod_crab,decapod_crab,Paguridae,Decapoda ,Malacostraca,97804,
Pagurus longicarpus,.,decapod_crab,large_decapod,decapod_crab,decapod_crab,Paguridae,Decapoda ,Malacostraca,97807,
pagurus pubescens,.,decapod_crab,large_decapod,decapod_crab,decapod_crab,Paguridae,Decapoda ,Malacostraca,,
Pagurus spp.,.,decapod_crab,large_decapod,decapod_crab,decapod_crab,Paguridae,Decapoda ,Malacostraca,#N/A,
Panopeus herbstii,.,mud_crab,large_decapod,decapod_crab,decapod_crab,Panopeidae,Decapoda ,Malacostraca,98778,
Pinnixa chaetopterana,.,decapod_crab,large_decapod,decapod_crab,decapod_crab,Pinnotheridae,Decapoda ,Malacostraca,98998,
pinnixa lunzi,.,decapod_crab,large_decapod,decapod_crab,decapod_crab,Pinnotheridae,Decapoda ,Malacostraca,,
Pinnixa retinens,.,decapod_crab,large_decapod,decapod_crab,decapod_crab,Pinnotheridae,Decapoda ,Malacostraca,99001,
Pinnixa sayana,.,decapod_crab,large_decapod,decapod_crab,decapod_crab,Pinnotheridae,Decapoda ,Malacostraca,99002,
Pinnixa spp.,.,decapod_crab,large_decapod,decapod_crab,decapod_crab,Pinnotheridae,Decapoda ,Malacostraca,#N/A,
Polyonyx gibbesi,.,decapod_crab,large_decapod,decapod_crab,decapod_crab,Porcellanidae,Decapoda ,Malacostraca,98083,
Rhithropanopeus harrisi,.,decapod_crab,large_decapod,decapod_crab,decapod_crab,Panopeidae,Decapoda ,Malacostraca,#N/A,
rhithropanopeus harrisii,.,decapod_crab,large_decapod,decapod_crab,decapod_crab,Panopeidae,Decapoda ,Malacostraca,,
Xanthidae,.,decapod_crab,large_decapod,decapod_crab,decapod_crab,Xanthidae,Decapoda ,Malacostraca,98748,
Alpheus heterochaelis,.,decapod_shrimp,large_decapod,decapod_shrimp,decapod_shrimp,Alpheidae ,Decapoda ,Malacostraca,96602,
Automate evermanni,.,decapod_shrimp,large_decapod,decapod_shrimp,decapod_shrimp,Alpheidae ,Decapoda ,Malacostraca,96679,
leptochela serratorbita,.,decapod_shrimp,large_decapod,decapod_shrimp,decapod_shrimp,Pasiphaeidae,Decapoda,Malacostraca,,
Ogyrides alphaerostris,.,decapod_shrimp,large_decapod,decapod_shrimp,decapod_shrimp,Ogyrididae ,Decapoda ,Malacostraca,96737,
Palaemonetes pugio,.,decapod_shrimp,large_decapod,decapod_shrimp,decapod_shrimp,Palaemonidae,Decapoda ,Malacostraca,96390,
Palaemonetes spp.,.,decapod_shrimp,large_decapod,decapod_shrimp,decapod_shrimp,Palaemonidae,Decapoda ,Malacostraca,#N/A,
Palaemonidae,.,decapod_shrimp,large_decapod,decapod_shrimp,decapod_shrimp,Palaemonidae,Decapoda ,Malacostraca,96213,
trachypenaeus constrictus,.,decapod_shrimp,large_decapod,decapod_shrimp,decapod_shrimp,Penaeidae,Decapoda,Malacostraca,,
Biffarius biformis,.,decapod_shrimp,large_decapod,decapod_shrimp,Infaunal_shrimp,Callianassidae ,Decapoda ,Malacostraca,#N/A,
Callianassa setimanus,.,decapod_shrimp,large_decapod,decapod_shrimp,Infaunal_shrimp,Callianassidae ,Decapoda ,Malacostraca,97760,
Upogebia affinis,.,decapod_shrimp,large_decapod,decapod_shrimp,Infaunal_shrimp,Upogebiidae,Decapoda ,Malacostraca,98209,
Squilla empusa,.,mantis_shrimp,large_decapod,decapod_shrimp,mantis_shrimp,Squillidae,Decapoda ,Malacostraca,99143,
arbacia punctulata,.,echinoderm,echinoderm,echinoderm,echinoderm,Arbaciidae,Arbacioida,Echinoidea,,
Echinoidea,.,.,echinoderm,echinoderm,echinoderm,.,.,.,157821,
Microphiopholis atra,.,starfish,echinoderm,echinoderm,echinoderm,Amphiuridae,Ophiurida,Ophiuroidea,#N/A,
Ophiuroidea,.,starfish,echinoderm,echinoderm,echinoderm,.,.,.,157325,
Acteocina canaliculata,Gastropod,gastropod,gastropod,Gastropods,gastropod,Acteocinidae,Cephalaspidea,Gastropoda,76117,
Amnicola limosa,Gastropod,gastropod,gastropod,Gastropods,gastropod,Amnicolidae,Cephalaspidea,Gastropoda,70748,
amnicola spp.,Gastropod,gastropod,gastropod,Gastropods,gastropod,Amnicolidae,Cephalaspidea,Gastropoda,,
Anachis avara,Gastropod,gastropod,gastropod,Gastropods,gastropod,Columbellidae,Neogastropoda,Gastropoda,73617,
Anachis obesa,Gastropod,gastropod,gastropod,Gastropods,gastropod,Columbellidae,Neogastropoda,Gastropoda,73622,
ancylidae,Gastropod,gastropod,gastropod,Gastropods,gastropod,Planorbidae,Planorboidea,Gastropoda,,
Astyris lunata,Gastropod,gastropod,gastropod,Gastropods,gastropod,Columbellidae,Neogastropoda,Gastropoda,#N/A,
basommatophora,Gastropod,gastropod,gastropod,Gastropods,gastropod,.,Basommatophora,Gastropoda,,
bellamya japonica,Gastropod,gastropod,gastropod,Gastropods,gastropod,Viviparidae,Architaenioglossa,Gastropoda,,
boonea impressa,Gastropod,gastropod,gastropod,Gastropods,gastropod,Pyramidellidae,Heterobranchia,Gastropoda,,
busycon canaliculatum,Gastropod,gastropod,gastropod,Gastropods,gastropod,Buccinidae,Neogastropoda,Gastropoda,,
busycon carica,Gastropod,gastropod,gastropod,Gastropods,gastropod,Buccinidae,Neogastropoda,Gastropoda,,
busycon spp.,Gastropod,gastropod,gastropod,Gastropods,gastropod,Buccinidae,Neogastropoda,Gastropoda,,
Caecum pulchellum,Gastropod,gastropod,gastropod,Gastropods,gastropod,Caecidae,Littorinimorpha ,Gastropoda,71380,
Campeloma decisum,Gastropod,gastropod,gastropod,Gastropods,gastropod,Viviparidae,Architaenioglossa,Gastropoda,70312,
cerithiopsis greeni,Gastropod,gastropod,gastropod,Gastropods,gastropod,Cerithiopsidae,Caenongastropoda,Gastropoda,,
cipangopaludina chinensis,Gastropod,gastropod,gastropod,Gastropods,gastropod,Viviparidae,Architaenioglossa,Gastropoda,,
Crassispira ostrearum,Gastropod,gastropod,gastropod,Gastropods,gastropod,Turridae    ,Neogastropoda,Gastropoda,74901,
cratena pilata,Gastropod,gastropod,gastropod,Gastropods,gastropod,Facelinidae,Heterobranchia,Gastropoda,,
Crepidula fornicata,Gastropod,gastropod,gastropod,Gastropods,gastropod,Calyptraeidae,Littorinimorpha ,Gastropoda,72623,
crepidula plana,Gastropod,gastropod,gastropod,Gastropods,gastropod,Calyptraeidae,Littorinimorpha ,Gastropoda,,
crepidula spp.,Gastropod,gastropod,gastropod,Gastropods,gastropod,Calyptraeidae,Littorinimorpha ,Gastropoda,,
Cylichnella bidentata,Gastropod,gastropod,gastropod,Gastropods,gastropod,Cylichnidae,Cephalaspidea,Gastropoda,76141,
Epitonium multistriatum,Gastropod,gastropod,gastropod,Gastropods,gastropod,Epitoniidae,Caenongastropoda,Gastropoda,72247,
Epitonium rupicola,Gastropod,gastropod,gastropod,Gastropods,gastropod,Epitoniidae,Caenongastropoda,Gastropoda,72249,
Epitonium spp.,Gastropod,gastropod,gastropod,Gastropods,gastropod,Epitoniidae,Caenongastropoda,Gastropoda,#N/A,
Ferrissia rivularis,Gastropod,gastropod,gastropod,Gastropods,gastropod,Ancylidae,Basommatophora,Gastropoda,76572,
ferrissia spp.,Gastropod,gastropod,gastropod,Gastropods,gastropod,Ancylidae,Basommatophora,Gastropoda,,
Gastropoda,Gastropod,gastropod,gastropod,Gastropods,gastropod,.,.,Gastropoda,69459,
Goniobasis virginica,Gastropod,gastropod,gastropod,Gastropods,gastropod,Pleuroceridae,,Gastropoda,71852,
Gyraulus spp.,Gastropod,gastropod,gastropod,Gastropods,gastropod,Planorbidae,,Gastropoda,#N/A,
Haminoea solitaria,Gastropod,gastropod,gastropod,Gastropods,gastropod,Haminoeidae,Cephalaspidea,Gastropoda,76258,
hydrobia spp.,Gastropod,gastropod,gastropod,Gastropods,gastropod,Hydrobiidae,Littorinimorpha,Gastropoda,,
Hydrobia truncata,Gastropod,gastropod,gastropod,Gastropods,gastropod,Hydrobiidae,Littorinimorpha,Gastropoda,70495,
Hydrobiidae,Gastropod,gastropod,gastropod,Gastropods,gastropod,Hydrobiidae,Littorinimorpha,Gastropoda,70493,
